Date,Open,High,Low,Close,Adj Close,Volume
2012-06-19,13888.0,14320.0,13816.0,14100.0,14100.0,2506
2012-06-20,14108.0,14652.0,13512.0,13512.0,13512.0,3764
2012-06-21,13548.0,15068.0,13388.0,15048.0,15048.0,3514
2012-06-22,14512.0,14752.0,13416.0,13496.0,13496.0,2949
2012-06-25,14448.0,14788.0,14360.0,14628.0,14628.0,1289
2012-06-26,14200.0,14776.0,14004.0,14196.0,14196.0,2362
2012-06-27,13980.0,14320.0,13796.0,14288.0,14288.0,1467
2012-06-28,14460.0,14724.0,13828.0,13832.0,13832.0,1969
2012-06-29,13060.0,13244.0,12848.0,12928.0,12928.0,2345
2012-07-02,12660.0,12820.0,12040.0,12088.0,12088.0,1456
2012-07-03,12000.0,12020.0,11640.0,11820.0,11820.0,1186
2012-07-05,11900.0,12356.0,11900.0,12244.0,12244.0,1342
2012-07-06,12600.0,12608.0,12092.0,12116.0,12116.0,983
2012-07-09,12052.0,12320.0,11884.0,11996.0,11996.0,829
2012-07-10,11820.0,12556.0,11648.0,12352.0,12352.0,1331
2012-07-11,12320.0,12516.0,11836.0,11932.0,11932.0,1208
2012-07-12,12228.0,12500.0,11772.0,12052.0,12052.0,1269
2012-07-13,11892.0,11892.0,11340.0,11356.0,11356.0,1680
2012-07-16,11324.0,11472.0,11100.0,11236.0,11236.0,1036
2012-07-17,11044.0,11352.0,10732.0,10812.0,10812.0,1480
2012-07-18,10860.0,10992.0,10636.0,10932.0,10932.0,1019
2012-07-19,10836.0,11100.0,10660.0,10660.0,10660.0,1133
2012-07-20,10992.0,11344.0,10844.0,11240.0,11240.0,2141
2012-07-23,12132.0,12512.0,11760.0,11952.0,11952.0,3273
2012-07-24,11968.0,12836.0,11952.0,12464.0,12464.0,3073
2012-07-25,12392.0,12848.0,12104.0,12320.0,12320.0,2632
2012-07-26,11556.0,11800.0,11336.0,11384.0,11384.0,3018
2012-07-27,10892.0,11188.0,10840.0,11064.0,11064.0,2298
2012-07-30,10972.0,11308.0,10836.0,11272.0,11272.0,2739
2012-07-31,11500.0,11632.0,11276.0,11608.0,11608.0,2290
2012-08-01,11396.0,11620.0,11212.0,11352.0,11352.0,2572
2012-08-02,11616.0,11752.0,11100.0,11108.0,11108.0,3179
2012-08-03,10668.0,10744.0,10332.0,10348.0,10348.0,3041
2012-08-06,10184.0,10248.0,9972.0,10116.0,10116.0,2920
2012-08-07,9944.0,10396.0,9888.0,10380.0,10380.0,1547
2012-08-08,10356.0,10416.0,9928.0,9960.0,9960.0,1565
2012-08-09,10016.0,10120.0,9792.0,9912.0,9912.0,1347
2012-08-10,10012.0,10060.0,9712.0,9724.0,9724.0,1504
2012-08-13,9744.0,9780.0,9464.0,9464.0,9464.0,2348
2012-08-14,9520.0,10008.0,9480.0,10000.0,10000.0,2649
2012-08-15,10008.0,10060.0,9760.0,9988.0,9988.0,2218
2012-08-16,9952.0,10136.0,9784.0,9784.0,9784.0,2829
2012-08-17,9700.0,9836.0,9440.0,9512.0,9512.0,3251
2012-08-20,9596.0,9760.0,9496.0,9528.0,9528.0,1505
2012-08-21,9396.0,9864.0,9364.0,9780.0,9780.0,4052
2012-08-22,9944.0,10056.0,9740.0,9844.0,9844.0,1700
2012-08-23,9912.0,10184.0,9876.0,10048.0,10048.0,2148
2012-08-24,10188.0,10196.0,9564.0,9648.0,9648.0,2314
2012-08-27,9564.0,9740.0,9484.0,9728.0,9728.0,2210
2012-08-28,9856.0,9920.0,9716.0,9904.0,9904.0,2115
2012-08-29,9860.0,9952.0,9672.0,9940.0,9940.0,1717
2012-08-30,10144.0,10244.0,10020.0,10156.0,10156.0,1541
2012-08-31,9960.0,10200.0,9740.0,9816.0,9816.0,2923
2012-09-04,9840.0,10004.0,9704.0,9736.0,9736.0,2084
2012-09-05,9696.0,9732.0,9412.0,9472.0,9472.0,1997
2012-09-06,9248.0,9256.0,8484.0,8496.0,8496.0,4471
2012-09-07,8324.0,8344.0,7980.0,8008.0,8008.0,2116
2012-09-10,8128.0,8476.0,7868.0,8452.0,8452.0,3970
2012-09-11,8420.0,8524.0,8192.0,8400.0,8400.0,2465
2012-09-12,8216.0,8424.0,8104.0,8164.0,8164.0,2062
2012-09-13,8160.0,8296.0,7500.0,7568.0,7568.0,4020
2012-09-14,7408.0,7864.0,7280.0,7796.0,7796.0,3882
2012-09-17,7952.0,7956.0,7748.0,7752.0,7752.0,3475
2012-09-18,7800.0,7884.0,7528.0,7564.0,7564.0,4693
2012-09-19,7412.0,7580.0,7392.0,7544.0,7544.0,2399
2012-09-20,7600.0,7732.0,7456.0,7464.0,7464.0,2877
2012-09-21,7464.0,7536.0,7312.0,7420.0,7420.0,2366
2012-09-24,7496.0,7532.0,7248.0,7316.0,7316.0,2280
